formula,Crystal System,band_gap_experimenatal (eV)
FeTe2 ,Orthorhombic ,0.46
Ga2O3 ,Monoclinic ,4.646666667
Ga2S3 ,Cubic ,2.675
Ga2S3 ,Hexagonal ,2.776
Ga2S3 ,Monoclinic ,2.8
Ga2Se3 ,Cubic ,1.9325
Ga2Te3 ,Cubic ,1.358
GaAs ,Cubic ,1.4647
GaAs ,Tetragonal ,1.35
GaN ,Hexagonal ,3.451636364
GaP ,Cubic ,2.351785714
GaS ,Hexagonal ,2.82116875
GaSb ,Cubic ,0.778468182
GaSe ,Hexagonal ,2.229071429
GaTe ,Hexagonal ,1.7052
Gd2O3 ,Cubic ,2.13
Gd2Se3 ,Cubic ,2.2
Gd2Te3 ,Orthorhombic ,0.74
GdAs ,Cubic ,0.63
GdB6 ,Cubic ,3.6
GdN ,Cubic ,1.54
GdTe ,Cubic ,1.3
GeAs ,Monoclinic ,1.05
GeI2 ,Hexagonal ,1.5
GeO2 ,Tetragonal ,5.576666667
GeS ,Orthorhombic ,1.645785714
GeS2 ,Orthorhombic ,3.541666667
GeSe ,Orthorhombic ,1.154090909
GeSe2 ,Orthorhombic ,2.537375
GeTe ,Cubic ,1.256666667
GeTe ,Orthorhombic ,0.1
GeTe ,Trigonal ,0.15
HfO2 ,Monoclinic ,5.55
HfS2 ,Trigonal ,2.43
HfS3 ,Monoclinic ,2.825
HfSe2 ,Trigonal ,1.665
Hg2Br2 ,Tetragonal ,2.6
Hg2Cl2 ,Tetragonal ,3.38
Hg2I2 ,Tetragonal ,2.37
HgBr2 ,Orthorhombic ,3.59
HgCl2 ,Orthorhombic ,4.45
HgI2 ,Orthorhombic ,2.718333333
HgI2 ,Tetragonal ,2.171666667
HgO ,Orthorhombic ,2.2
HgS ,Cubic ,0.6
HgS ,Trigonal ,2.028125
HgSe ,Cubic ,0.256766667
HgTe ,Cubic ,0.1603125
Ho2O3 ,Cubic ,2.84
Ho2S3 ,Monoclinic ,0.5
HoN ,Cubic ,1.845
In2O3 ,Cubic ,2.289285714
In2S3 ,Cubic ,1.829230769
In2Se ,Orthorhombic ,0.75575
In2Se3 ,Cubic ,1
In2Se3 ,Hexagonal ,1.38
In2Se3 ,Monoclinic ,0.97
In2Se3 ,Trigonal ,1.208333333
In2Te ,Orthorhombic ,0.461666667
In2Te3 ,Cubic ,1.112083333
In4S5 ,Monoclinic ,0.9
In5Se6 ,Monoclinic ,0.14
InAs ,Cubic ,0.39655
InN ,Hexagonal ,2.12625
InP ,Cubic ,1.352851724
InS ,Orthorhombic ,2.03
InSb ,Cubic ,0.211696552
InSe ,Hexagonal ,1.15
InSe ,Trigonal ,1.360673077
InTe ,Tetragonal ,0.318
IrAs2 ,Monoclinic ,0.7
IrS2 ,Orthorhombic ,0.9
IrSe2 ,Orthorhombic ,1
K2S ,Cubic ,2.1
K2Se ,Cubic ,1.8
K2Te ,Cubic ,1.9
K3As ,Hexagonal ,2.5
K3Bi ,Hexagonal ,0.95
K3Sb ,Cubic ,1.4
K3Sb ,Hexagonal ,1.166666667
KBr ,Cubic ,7.10625
KCl ,Cubic ,7.888
KF ,Cubic ,10.4275
KI ,Cubic ,6.1395
KSb ,Monoclinic ,0.9
La2O3 ,Trigonal ,1.955
La2S3 ,Cubic ,2.25
La2S3 ,Tetragonal ,2.09
La2Se3 ,Cubic ,1.773333333
La2Te3 ,Cubic ,0.265
La3Te4 ,Cubic ,0.43
LaB6 ,Cubic ,3.026666667
LaF3 ,Trigonal ,6.6
LaSb ,Cubic ,0.8
LaTe2 ,Tetragonal ,0.48
Li2B6 ,Tetragonal ,2
Li3Bi ,Cubic ,1.3
Li3Sb ,Cubic ,1.5
Li3Sb ,Hexagonal ,0.833333333
LiBr ,Cubic ,7.725
LiCl ,Cubic ,9.33
LiF ,Cubic ,12.41375
LiI ,Cubic ,5.964
Lu2O3 ,Cubic ,3.94
Mg2Ge ,Cubic ,0.810138889
Mg2Pb ,Cubic ,0.098714286
Mg2Si ,Cubic ,0.881944444
Mg2Sn ,Cubic ,0.28
Mg3As2 ,Cubic ,1.725
Mg3Bi2 ,Trigonal ,0.1
Mg3N2 ,Cubic ,2.8
Mg3P2 ,Cubic ,1.4
Mg3Sb2 ,Trigonal ,0.81
MgF2 ,Tetragonal ,10.565
MgO ,Cubic ,7.1925
MgSe ,Cubic ,5.61
MgTe ,Hexagonal ,4.15
MnAl3 ,Monoclinic ,0.58
MnF2 ,Tetragonal ,10.11333333
MnI2 ,Trigonal ,4.22
MnO ,Cubic ,2.585
MnO2 ,Tetragonal ,0.413333333
MnS ,Cubic ,6.1
MnS ,Hexagonal ,2.624
MnSe ,Cubic ,1.42125
MnSe2 ,Cubic ,0.15
MnTe ,Hexagonal ,1.173333333
MnTe2 ,Cubic ,0.2525
MoO3 ,Orthorhombic ,3.364285714
MoS2 ,Hexagonal ,1.59
MoTe2 ,Hexagonal ,1.1875
Na2S ,Cubic ,2.4
Na2Se ,Cubic ,2.2
Na2Te ,Cubic ,2.15
Na3As ,Hexagonal ,3.15
Na3Bi ,Hexagonal ,1.1
Na3Sb ,Hexagonal ,1.08
NaBr ,Cubic ,7.37125
NaCl ,Cubic ,7.756666667
NaF ,Cubic ,10.5
NaI ,Cubic ,6.074
NaSb ,Monoclinic ,0.82
Nb2O5 ,Monoclinic ,3.053333333
Nb2Se3 ,Monoclinic ,0.075
NbO2 ,Tetragonal ,0.25
NbSe2 ,Hexagonal ,1.4
Nd2O3 ,Trigonal ,0.97
Nd2Se3 ,Cubic ,2.025
Nd2Te3 ,Orthorhombic ,1.12
Nd2Te5 ,Orthorhombic ,0.29
Nd3Te4 ,Cubic ,1.6
Nd4Te7 ,Tetragonal ,0.38
NdAs ,Cubic ,1.04
NdB6 ,Cubic ,4.1
NdF3 ,Trigonal ,6.15
NdSe1.9 ,Tetragonal ,0.016
NdTe2 ,Tetragonal ,0.39
NiAs2 ,Orthorhombic ,0.05
NiO ,Trigonal ,3.08
NiP2 ,Monoclinic ,0.5
NiS ,Hexagonal ,0.065
NiS2 ,Cubic ,0.5
OsAs2 ,Orthorhombic ,0.906666667
OsP2 ,Orthorhombic ,1.176666667
OsS2 ,Cubic ,2
OsSb2 ,Orthorhombic ,0.255
OsTe2 ,Cubic ,0.3
P3N4 ,Monoclinic ,4.83
P3N4 ,Orthorhombic ,2.75
Pb2O3 ,Monoclinic ,1.67
Pb3O4 ,Tetragonal ,2.12
PbBr2 ,Orthorhombic ,3.31
PbCl2 ,Orthorhombic ,3.953333333
PbI2 ,Hexagonal ,2.525
PbN6 ,Orthorhombic ,3
PbO ,Orthorhombic ,2.833333333
PbO ,Tetragonal ,2.4569
PbO2 ,Orthorhombic ,1.725
PbO2 ,Tetragonal ,1.55
PbS ,Cubic ,0.3563
PbSe ,Cubic ,0.231294118
PbTe ,Cubic ,0.276058824
PdO ,Tetragonal ,0.723333333
PdP2 ,Monoclinic ,0.65
PdS ,Tetragonal ,0.5
PdS2 ,Orthorhombic ,0.75
PdSe ,Tetragonal ,0.2
PdSe2 ,Orthorhombic ,0.4
PdTe2 ,Trigonal ,1.8
Pr2O3 ,Trigonal ,0.84
Pr2S3 ,Cubic ,2.126666667
Pr2Se3 ,Cubic ,1.866666667
Pr2Te3 ,Cubic ,1.28
Pr4Te7 ,Tetragonal ,0.46
PrAs ,Cubic ,1
PrB6 ,Cubic ,4.9
PrF3 ,Trigonal ,5.725
PrO2 ,Cubic ,0.77
PrSb ,Cubic ,0.66
PrTe1.9 ,Tetragonal ,1
PrTe2 ,Tetragonal ,1.154
PtAs2 ,Cubic ,0.6
PtO2 ,Hexagonal ,0.2
PtO2 ,Orthorhombic ,0.2
PtP2 ,Cubic ,0.7
PtS ,Tetragonal ,0.775
PtS2 ,Hexagonal ,0.316666667
PtSb2 ,Cubic ,0.117772727
PtSe2 ,Trigonal ,0.1
Rb3Sb ,Hexagonal ,1.085714286
RbBr ,Cubic ,7.45
RbCl ,Cubic ,8.278
RbF ,Cubic ,10.4
RbI ,Cubic ,6.174285714
ReO3 ,Cubic ,2.3
ReS2 ,Triclinic ,1.1
ReSe2 ,Triclinic ,0.99
ReSi2 ,Tetragonal ,0.12
Rh2O3 ,Orthorhombic ,0.13
Rh2O3 ,Trigonal ,0.2
Rh2S3 ,Orthorhombic ,0.8
RhSe2 ,Cubic ,0.6
RuAs2 ,Orthorhombic ,0.8
RuP2 ,Orthorhombic ,0.933333333
RuS2 ,Cubic ,1.8
RuSb2 ,Orthorhombic ,0.3
RuSe2 ,Cubic ,0.8
RuSi ,Cubic ,0.26
RuTe2 ,Cubic ,0.25
Sb2O3 ,Orthorhombic ,3.57
Sb2S3 ,Orthorhombic ,1.708
Sb2Se3 ,Orthorhombic ,1.205277778
Sb2Te3 ,Trigonal ,0.254545455
SbI3 ,Monoclinic ,2.276666667
Sc2O3 ,Cubic ,4.825
Sc2S3 ,Orthorhombic ,2.176666667
ScN ,Cubic ,2.6
Si2Te3 ,Hexagonal ,1.802727273
Si3N4 ,Hexagonal ,4.625
SiAs ,Monoclinic ,1.774
SiAs2 ,Orthorhombic ,0.88
SiB3 ,Orthorhombic ,2
SiB3 ,Rhombohedral ,0.2
SiC 3c ,Cubic ,2.642866667
SiC ,Hexagonal ,3.122583333
SiC ,Trigonal ,2.8600625
SiO2 ,Hexagonal ,7.8
SiO2 ,Trigonal ,8.2
SiP ,Orthorhombic ,2
SiP2 ,Orthorhombic ,1.89
SiSe2 ,Orthorhombic ,1.73
Sm2O3 ,Monoclinic ,1.72
Sm2S3 ,Orthorhombic ,3
Sm2Se3 ,Orthorhombic ,2.073333333
Sm2Te3 ,Orthorhombic ,0.7
Sm3Te4 ,Cubic ,0.51
SmAs ,Cubic ,1.03
SmB6 ,Cubic ,4.9
SmP ,Cubic ,1.09
SmS ,Cubic ,0.54
SmSb ,Cubic ,0.59
SmSe ,Cubic ,0.46
SmSe1.9 ,Tetragonal ,1.68
SmTe ,Cubic ,0.378
Sn3N4 ,Cubic ,1.3
Sn3N4 ,Monoclinic ,3
Sn3N4 ,Rhombohedral ,2.64
SnBr2 ,Orthorhombic ,3.45
SnCl2 ,Orthorhombic ,3.9
SnI2 ,Monoclinic ,2.4
SnI4 ,Cubic ,2.38
SnO2 ,Tetragonal ,3.346291667
SnS ,Orthorhombic ,1.188
SnS2 ,Trigonal ,2.103888889
SnSe ,Orthorhombic ,0.962352941
SnSe2 ,Trigonal ,1.242105263
SnTe ,Cubic ,0.318333333
SrO ,Cubic ,4.21
SrS ,Cubic ,4.78
SrSe ,Cubic ,4.435
SrTe ,Cubic ,3.75
Ta2O5 ,Monoclinic ,4.11
TaS2 ,Hexagonal ,0.1
Tb2O3 ,Cubic ,0.905
Tb4O7 ,Cubic ,0.4
TbO2 ,Cubic ,0.5
TcCl2 ,Monoclinic ,0.12
TeI ,Triclinic ,1.1
TeO2 ,Tetragonal ,3
Th2Se5 ,Tetragonal ,0.37
ThO2 ,Cubic ,3.804285714
TI2O3 ,Trigonal ,0.07
Ti2S3 ,Monoclinic ,0.3
TiO ,Cubic ,0.1
TiO2 ,Tetragonal ,3.25
TiS2 ,Trigonal ,1.595
TiS3-x ,Monoclinic ,0.9
TiSe2 ,Trigonal ,1.12
TiTe2 ,Trigonal ,1
Tl2O3 ,Cubic ,1.825
Tl2S ,Trigonal ,1.025714286
Tl2Se ,Tetragonal ,0.37
Tl2Te ,Tetragonal ,0.48
Tl2Te3 ,Monoclinic ,0.61
TlBr ,Cubic ,2.935907692
TlCl ,Cubic ,3.420275
TlI ,Cubic ,2.5556
TlI ,Orthorhombic ,2.88
TlN3 ,Tetragonal ,3.58
TlS ,Tetragonal ,1.36
TlSe ,Tetragonal ,0.741944444
TmAs ,Cubic ,1.18
UO2 ,Cubic ,1.74
V2O3 ,Hexagonal ,0.24
V2O3 ,Trigonal ,0.1
V2O5 ,Orthorhombic ,2.328571429
V4O7 ,Triclinic ,0.8
V5O9 ,Triclinic ,0.15
VO ,Cubic ,0.3
VO2 ,Monoclinic ,0.4575
WO3 ,Triclinic ,2.8
WS2 ,Hexagonal ,0.775
WSe2 ,Hexagonal ,1.465
WTe2 ,Orthorhombic ,0.0625
Y2O3 ,Cubic ,3.53
Y2S3 ,Monoclinic ,2.9
Yb2O3 ,Cubic ,2.26
Yb2S3 ,Hexagonal ,0.29
YbAs ,Cubic ,1.02
YbS ,Cubic ,0.610125
YbSb ,Cubic ,1
YbSe ,Cubic ,0.85
YbTe ,Cubic ,1.425
YN ,Cubic ,1.9
Zn3As2 ,Tetragonal ,0.960652174
Zn3P2 ,Tetragonal ,1.471666667
Zn3Sb2 ,Orthorhombic ,0.21
Zn4Sb3 ,Monoclinic ,1.16
ZnAs ,Orthorhombic ,0.9
ZnAs2 ,Monoclinic ,1.026363636
ZnI2 ,Tetragonal ,4.53
ZnO ,Hexagonal ,3.357028571
ZnP2 ,Monoclinic ,1.33
ZnP2 ,Tetragonal ,1.858
ZnS ,Cubic ,3.61125
ZnS ,Hexagonal ,3.714952381
ZnSb ,Orthorhombic ,0.660030303
ZnSe ,Cubic ,2.712313793
ZnSe ,Hexagonal ,2.8345
ZnTe ,Cubic ,2.279285714
Zr3O ,Trigonal ,0.2
Zr6O ,Hexagonal ,0.18
ZrO2 ,Monoclinic ,2.066666667
ZrS2 ,Trigonal ,1.76
ZrS3 ,Monoclinic ,2.225
ZrSe2 ,Trigonal ,2
ZrSe3 ,Monoclinic ,1.25
LiB3O5 ,Orthorhombic ,7.765
KTi2F7 ,Orthorhombic ,6.4
DyPO4 ,Tetragonal ,6.38
BaB2O4 ,Hexagonal ,6.315
K2ReH9 ,Hexagonal ,5.71
LiGaO2 ,Orthorhombic ,5.6
Ge(SeO3)2 ,Cubic ,5.31
Ge(SeO3)2 ,Monoclinic ,5.27
Ba2B6O11 ,Monoclinic ,5.17
SrSeO4 ,Monoclinic ,4.75
ZnGa2O4 ,Cubic ,4.7
Se2B2O7 ,Orthorhombic ,4.64
Ga2Se2O7 ,Orthorhombic ,4.61
Tb4Al2O9 ,Monoclinic ,4.59
MgSiN2 ,Orthorhombic ,4.525
CaSnO3 ,Orthorhombic ,4.4
LaGaO3 ,Orthorhombic ,4.4
PbSeO4 ,Monoclinic ,4.3
LiIO3 ,Hexagonal ,4.185
Ga2(TeO3)3 ,Hexagonal ,4.15
Ga2(TeO3)3 ,Cubic ,4.14
BaGa2S4 ,Cubic ,4.125
Ca3B2N4 ,Orthorhombic ,4.1
LiTaO3 ,Hexagonal ,4.1
SrSnO3 ,Orthorhombic ,4.1
Bi7F11O5 ,Monoclinic ,4.05
PrBN2 ,Rhombohedral ,4
LiGaS2 ,Orthorhombic ,3.973333333
MgGeN2 ,Orthorhombic ,3.933333333
CdTeO3 ,Monoclinic ,3.91
KIO3 ,Trigonal ,3.906666667
Ca3B2N4 ,Cubic ,3.9
ZnSnO3 ,Rhombohedral ,3.9
ZnSiN2 ,Orthorhombic ,3.875
KIO3 ,Cubic ,3.8575
BiPO4 ,Hexagonal ,3.85
AgScO2 ,Hexagonal ,3.8
LiNbO3 ,Hexagonal ,3.8
CdP2S4 ,Trigonal ,3.76
NaSbF6 ,Cubic ,3.76
Li3PS4 ,Orthorhombic ,3.68
Pr2Te4O11 ,Monoclinic ,3.65
CuBS2 ,Tetragonal ,3.61
KNbO3 ,Tetragonal ,3.6
Zn2GaO4 ,Cubic ,3.6
LiInS2 ,Orthorhombic ,3.573333333
CdTeO3 ,Orthorhombic ,3.55
BaGa4S7 ,Orthorhombic ,3.54
Na2Ti3O7 ,Monoclinic ,3.51
Ce15B8N25 ,Rhombohedral ,3.5
CuYO2 ,Hexagonal ,3.5
KTaO3 ,Cubic ,3.5
BiOCl ,Tetragonal ,3.455
BaReH9 ,Hexagonal ,3.44
Pb17O8Cl18 ,Orthorhombic ,3.44
CdGa2S4 ,Tetragonal ,3.424
Bi2O2CO3 ,Orthorhombic ,3.42
SrTIO3 ,Cubic ,3.4125
Sr2TiO4 ,Tetragonal ,3.41
AgAlO2 ,Hexagonal ,3.4
BaAl4Se7 ,Monoclinic ,3.4
CsInS2 ,Monoclinic ,3.4
H2Ti6O13 ,Monoclinic ,3.4
HgBrCl ,Orthorhombic ,3.4
TlGaS2 ,Tetragonal ,3.4
AgAlS2 ,Tetragonal ,3.3475
LiGaSe2 ,Orthorhombic ,3.345
Ca6Bi6O15 ,Triclinic ,3.34
AgGaO2 ,Hexagonal ,3.3
Bi2(IO4)(IO3)3 ,Orthorhombic ,3.3
Bi3Ge3O10.5 ,Cubic ,3.3
CuScO2 ,Hexagonal ,3.3
RbInS2 ,Monoclinic ,3.3
Bi8O6(AsO3)2(AsO4)2 ,Monoclinic ,3.28
CsGaS2 ,Monoclinic ,3.27
Sr3Ti2O7 ,Tetragonal ,3.26
Bi12PO20 ,Cubic ,3.25
Bi24VO41 ,Cubic ,3.25
CaMg2N2 ,Hexagonal ,3.25
Rb3Bi2Br9 ,Monoclinic ,3.245
Bi12GeO20 ,Cubic ,3.225
Bi12SiO20 ,Cubic ,3.225
ZnGeN2 ,Orthorhombic ,3.225
CeScO3 ,Orthorhombic ,3.2
LiMgN ,Cubic ,3.2
SrPb3Br8 ,Orthorhombic ,3.2
CuAlS2 ,Tetragonal ,3.166666667
BaGa2Se4 ,Orthorhombic ,3.163
AgInO2 ,Hexagonal ,3.15
CuCrO2 ,Hexagonal ,3.13
InPS4 ,Tetragonal ,3.12
Bi25TiO39 ,Cubic ,3.1
SnGa4S7 ,Monoclinic ,3.1
Bi12TiO20 ,Cubic ,3.09
Cs2Ga2S5 ,Monoclinic ,3.085
CaBi2O4 ,Monoclinic ,3.08
PbGa4S7 ,Monoclinic ,3.08
Zn3(PS4)2 ,Tetragonal ,3.07
NaNO2 ,Orthorhombic ,3.06
BaIn2S4 ,Orthorhombic ,3.057
BaSnO3 ,Cubic ,3.02
Ba3GeS5 ,Orthorhombic ,3
CdSnO3 ,Orthorhombic ,3
Cu3TaS4 ,Cubic ,3
K2ZnTe2 ,Orthorhombic ,3
Bi25GaO39 ,Cubic ,2.99
TlCuCl3 ,Monoclinic ,2.98
In2Se2O7 ,Orthorhombic ,2.97
Cs3Sb2Cl9 ,Trigonal ,2.955
Sb5O7I ,Hexagonal ,2.925
BiOBr ,Tetragonal ,2.924
Bi24BO39 ,Cubic ,2.91
Bi2Mo3O12 ,Monoclinic ,2.9
CaPr2S4 ,Cubic ,2.9
Li3ScN2 ,Cubic ,2.9
CsGaS3 ,Monoclinic ,2.89
Bi38ZnO58 ,Cubic ,2.88
Y3GaS6 ,Orthorhombic ,2.88
EuVO4 ,Tetragonal ,2.866666667
Cs3Sb2Cl9 ,Orthorhombic ,2.86
SrLa2S4 ,Cubic ,2.85
Zn3In2S6 ,Trigonal ,2.85
LiInSe2 ,Orthorhombic ,2.84
HgGa2S4 ,Tetragonal ,2.82
CsInSe2 ,Monoclinic ,2.81
Dy3GaS6 ,Orthorhombic ,2.81
Bi25FeO39 ,Cubic ,2.8
Cs2Hg3S4 ,Orthorhombic ,2.8
Tl4CdI6 ,Tetragonal ,2.8
BaTiO3 ,Tetragonal ,2.783571429
Bi5O7I ,Orthorhombic ,2.76
Ca4Bi6O13 ,Orthorhombic ,2.76
Ba2ZnSe3 ,Orthorhombic ,2.75
Cu3NbS4 ,Cubic ,2.75
InP2S4 ,Monoclinic ,2.75
K2Cd3S4 ,Orthorhombic ,2.75
Sb8O11I2 ,Monoclinic ,2.741666667
EuAl2O4 ,Monoclinic ,2.74
KNbO3 ,Cubic ,2.73
Zn6S5Cl2 ,Orthorhombic ,2.71
CaLa2S4 ,Cubic ,2.7
CaNd2S4 ,Cubic ,2.7
Mg3B50C8 ,Monoclinic ,2.7
SrPr2S4 ,Cubic ,2.7
ZnIn2S4 ,Trigonal ,2.6905
Cu2Ta4O11 ,Monoclinic ,2.65
MnSb2O4 ,Tetragonal ,2.65
CsGaSe2 ,Monoclinic ,2.633333333
BaIn2Se4 ,Orthorhombic ,2.625
Nd4(GeS4)3 ,Trigonal ,2.62
Rb3Bi2Br9 ,Orthorhombic ,2.62
