formula,Crystal System,band_gap_calculated (eV)
Mo,Hexagonal,0
Mo,Monoclinic,0
N2,Cubic,3.610016667
N2,Hexagonal,2.509333333
N2,Orthorhombic,0.1838
N2,Tetragonal,3.3695
N2,Trigonal,6.9553
Na,Cubic,0
Na,Hexagonal,0
Na,Orthorhombic,0
Na,Tetragonal,0
Na,Trigonal,0
Nb,Cubic,0
Nb,Hexagonal,0
Nb,Monoclinic,0
Nb,Triclinic,0
Nb,Trigonal,0
Nd,Cubic,0
Nd,Hexagonal,0
Nd,Trigonal,0
Ne,Cubic,11.6898
Ni,Cubic,0
Ni,Hexagonal,0
Ni,Trigonal,0
Np,Cubic,0
Np,Orthorhombic,0
Np,Tetragonal,0
O2,Cubic,0
O2,Hexagonal,0
O2,Monoclinic,1.334309091
O2,Orthorhombic,0.5774
O2,Tetragonal,0.342483333
O2,Triclinic,0.6598
O2,Trigonal,2.1439
Os,Cubic,0
Os,Hexagonal,0
Os,Monoclinic,0
P,Cubic,1.0017
P,Monoclinic,2.445125
P,Orthorhombic,0.919225
P,Tetragonal,2.1942
P,Triclinic,2.7686
P,Trigonal,0
Pa,Cubic,0
Pa,Hexagonal,0
Pa,Tetragonal,0
Pb,Cubic,0
Pb,Hexagonal,0
Pb,Tetragonal,0
Pb,Trigonal,0
Pd,Cubic,0
Pd,Hexagonal,0
Pm,Cubic,0
Pm,Hexagonal,0
Pm,Trigonal,0
Pr,Cubic,0
Pr,Hexagonal,0
Pr,Monoclinic,0
Pr,Orthorhombic,0
Pr,Tetragonal,0
Pr,Trigonal,0
Pt,Cubic,0
Pt,Hexagonal,0
Pu,Cubic,0
Pu,Hexagonal,0
Pu,Monoclinic,0
Pu,Orthorhombic,0
Pu,Triclinic,0
Rb,Cubic,0
Rb,Hexagonal,0
Rb,Monoclinic,0
Rb,Orthorhombic,0
Rb,Tetragonal,0.027575
Rb,Triclinic,0
Rb,Trigonal,0
Re,Cubic,0
Re,Hexagonal,0
Re,Trigonal,0
Rh,Cubic,0
Rh,Hexagonal,0
Ru,Cubic,0
Ru,Hexagonal,0
S,Cubic,0
S,Monoclinic,1.94664
S,Orthorhombic,1.7631
S,Tetragonal,1.66325
S,Triclinic,2.4646
S,Trigonal,1.395025
Sb,Cubic,0
Sb,Hexagonal,0
Sb,Monoclinic,0
Sb,Tetragonal,0
Sb,Triclinic,0
Sb,Trigonal,0
Sc,Cubic,0
Sc,Hexagonal,0
Sc,Tetragonal,0
Sc,Trigonal,0
Se,Cubic,0
Se,Monoclinic,1.5767
Se,Orthorhombic,0
Se,Trigonal,1.2047
Si,Cubic,0.61875
Si,Hexagonal,0.4182
Si,Monoclinic,0.636
Si,Orthorhombic,0.288985714
Si,Tetragonal,0.14765
Si,Triclinic,0.00307
Si,Trigonal,0.297733333
Sm,Cubic,0
Sm,Hexagonal,0
Sm,Trigonal,0
Sn,Cubic,0.12015
Sn,Orthorhombic,0
Sn,Tetragonal,0
Sr,Cubic,0
Sr,Hexagonal,0.092975
Sr,Tetragonal,0
Sr,Trigonal,0
Ta,Cubic,0
Ta,Hexagonal,0
Ta,Orthorhombic,0
Ta,Tetragonal,0
Tb,Cubic,0
Tb,Hexagonal,0
Tb,Trigonal,0
Tc,Cubic,0
Tc,Hexagonal,0
Te,Cubic,0
Te,Monoclinic,0
Te,Orthorhombic,0
Te,Trigonal,0.248733333
Th,Cubic,0
Ti,Cubic,0
Ti,Hexagonal,0
Ti,Triclinic,0.00126
Ti,Trigonal,0
Tl,Cubic,0
Tl,Hexagonal,0
Tl,Trigonal,0
Tm,Cubic,0
Tm,Hexagonal,0
Tm,Trigonal,0
U,Cubic,0
U,Hexagonal,0
U,Monoclinic,0
U,Orthorhombic,0
U,Tetragonal,0
V,Cubic,0
V,Hexagonal,0
W,Cubic,0
W,Hexagonal,0
W,Monoclinic,0
W,Orthorhombic,0
W,Tetragonal,0
Xe,Cubic,6.2231
Xe,Hexagonal,6.18555
Xe,Orthorhombic,6.11785
Xe,Trigonal,6.189333333
Y,Cubic,0
Y,Hexagonal,0
Y,Trigonal,0
Yb,Cubic,0
Yb,Hexagonal,0
Yb,Trigonal,0
Zn,Cubic,0
Zn,Hexagonal,0
Zn,Triclinic,0
Zn,Trigonal,0
Zr,Cubic,0
Zr,Hexagonal,0
Zr,Orthorhombic,0
