formula,Crystal System,band_gap_experimenatal (eV)
EuGa2S4 ,Orthorhombic ,2.32
BaTiO3 ,Cubic ,2.315
Ba8Sn4S15 ,Orthorhombic ,2.31
LiGaTe2 ,Tetragonal ,2.31
Ce4(GeS4)3 ,Trigonal ,2.3
Cs3Sb2Br9 ,Trigonal ,2.3
Er3SmS6 ,Monoclinic ,2.3
La8Sb2S15 ,Tetragonal ,2.3
Li2PtO3 ,Monoclinic ,2.3
Rb2Cd3Te4 ,Monoclinic ,2.3
Rb6(PS5)(P2S10) ,Monoclinic ,2.3
Cu3NbSe4 ,Cubic ,2.295
Ba7Sn5S15 ,Hexagonal ,2.29
BaTiO3 ,Orthorhombic ,2.29
NaAsS2 ,Monoclinic ,2.28
Li2B12Si2 ,Orthorhombic ,2.27
Hg3S2I2 ,Orthorhombic ,2.25
PbCrO4 ,Monoclinic ,2.25
ZnGeP2 ,Tetragonal ,2.24
ThOS ,Tetragonal ,2.22
Cd4P2Cl3 ,Cubic ,2.21
AgAsS2 ,Monoclinic ,2.201
AgGaO2 ,Orthorhombic ,2.2
Ba5Ga4Se10 ,Tetragonal ,2.2
Cu2P2S6 ,Tetragonal ,2.2
Gd6Ge2.5S14 ,Hexagonal ,2.2
TlInS2 ,Tetragonal ,2.2
SbSBr ,Orthorhombic ,2.196
ZnIn2Se4 ,Tetragonal ,2.185454545
NaIn3S5 ,Orthorhombic ,2.18
RbPSe6 ,Orthorhombic ,2.18
CdSiP2 ,Tetragonal ,2.173333333
Cs5P5Se12 ,Tetragonal ,2.17
K2TeBr6 ,Monoclinic ,2.17
NaIn3Se5 ,Trigonal ,2.17
CsInTe2 ,Monoclinic ,2.16
KPSe6 ,Orthorhombic ,2.16
BaGa4Se7 ,Monoclinic ,2.15
Cs4Ge4Se12 ,Orthorhombic ,2.15
NaCeS3 ,Orthorhombic ,2.15
Rb2TeBr6 ,Cubic ,2.14
Ba2In2Se5 ,Orthorhombic ,2.12
Cs2TeBr6 ,Cubic ,2.12
Hg3Se2I2 ,Orthorhombic ,2.12
Yb6Ga4S15 ,Monoclinic ,2.11
Ag3AsSe3 ,Trigonal ,2.10675
Ba2ZnTe3 ,Orthorhombic ,2.1
GdScS3 ,Orthorhombic ,2.1
K3Bi2I9 ,Monoclinic ,2.1
Rb4Ge4Se12 ,Orthorhombic ,2.1
Sr2P7Br ,Cubic ,2.1
Sr2P7I ,Cubic ,2.1
Ag3AsS3 ,Trigonal ,2.096416667
ZnSiAs2 ,Tetragonal ,2.09
K2P2Se6 ,Trigonal ,2.08
CuAlTe2 ,Tetragonal ,2.06
Hg2Br2Te2 ,Tetragonal ,2.06
NaGe3P3 ,Orthorhombic ,2.06
Tl2TeBr6 ,Tetragonal ,2.06
AsSI ,Amorphous ,2.05
CaSm2S4 ,Cubic ,2.05
Tl2Hg3S4 ,Monoclinic ,2.05
PbGa2Se4 ,Orthorhombic ,2.045
La10OSe14 ,Tetragonal ,2.04
RbSbS2 ,Triclinic ,2.0375
Cu2HgI4 ,Tetragonal ,2.03
BaPrO3 ,Orthorhombic ,2.025
K4Hf3Se14 ,Monoclinic ,2.02
Mg2GeSe4 ,Orthorhombic ,2.02
Cs2Ga2Se5 ,Monoclinic ,2.015
La2ZrS5 ,Orthorhombic ,2.01
Bi4V2O11-δ ,Orthorhombic ,2
Ce3MoO7 ,Orthorhombic ,2
CuNbO3 ,Monoclinic ,2
Er3SmSe6 ,Monoclinic ,2
EuTb2Se4 ,Orthorhombic ,2
Ag3SbS3 ,Trigonal ,1.99673913
Rb3Bi2I9 ,Monoclinic ,1.995
Ce8Sb2S15 ,Tetragonal ,1.99
Rb3Sb2I9 ,Monoclinic ,1.99
Ag2GeS3 ,Monoclinic ,1.98
Hg3PS3 ,Cubic ,1.98
Nd10OSe14 ,Tetragonal ,1.98
Ba3ThSe3(Se2)2 ,Orthorhombic ,1.96
K4Nb2S11 ,Orthorhombic ,1.96
Sb5O7I ,Monoclinic ,1.95
Th2GeSe2 ,Tetragonal ,1.95
LiZnN ,Cubic ,1.945
AgInS2 ,Tetragonal ,1.94
SbSI ,Orthorhombic ,1.936
BaHgS2 ,Orthorhombic ,1.93
Cd4As2Br3 ,Cubic ,1.93
Ce10OSe14 ,Tetragonal ,1.93
Hg3Te2I2 ,Monoclinic ,1.93
K2Cd2Te3 ,Monoclinic ,1.93
BiOI ,Tetragonal ,1.9225
BiSCl ,Orthorhombic ,1.91
Na2TeSe3 ,Monoclinic ,1.91
Ba2SnSe4 ,Monoclinic ,1.9
BiSBr ,Orthorhombic ,1.9
CsPSe6 ,Tetragonal ,1.9
Cs3Bi2I9 ,Hexagonal ,1.896666667
Cs3Sb2I9 ,Hexagonal ,1.89
Mn3Ta2O8 ,Tetragonal ,1.89
Pr10OSe14 ,Tetragonal ,1.89
HgGa2Se4 ,Tetragonal ,1.886
AsSeI ,Amorphous ,1.88
Gd2ZrS5 ,Orthorhombic ,1.88
AgSbS2 ,Monoclinic ,1.878125
CsLu7S11 ,Orthorhombic ,1.86
K8Zr6Se30 ,Triclinic ,1.86
SbSeBr ,Orthorhombic ,1.855
Hg2I2Te2 ,Tetragonal ,1.85
CuGa5Se8 ,Tetragonal ,1.845
Cd4Sb2I3 ,Cubic ,1.83
Nd2ZrS5 ,Orthorhombic ,1.83
Rb2Th7Se15 ,Monoclinic ,1.83
Cu3SmS3 ,Monoclinic ,1.82
KSb5S8 ,Crystal ,1.82
Tl3VS4 ,Cubic ,1.81
Ba2SnSe5 ,Monoclinic ,1.8
Ba2SnSe5 ,Orthorhombic ,1.8
EuDy2Se4 ,Orthorhombic ,1.8
EuHo2Se4 ,Orthorhombic ,1.8
EuTm2Se4 ,Orthorhombic ,1.8
K2Ge4Se8 ,Monoclinic ,1.8
Tl4Nb2S11 ,Triclinic ,1.8
AgIn5S8 ,Cubic ,1.793
CuGaSe2 ,Tetragonal ,1.786428571
CsLu7Se11 ,Orthorhombic ,1.78
SrPbO3 ,Orthorhombic ,1.78
CuGa3Se5 ,Tetragonal ,1.75
Lu2CrS4 ,Tetragonal ,1.75
NaAsSe2 ,Monoclinic ,1.75
ZnIn2Te4 ,Tetragonal ,1.735
BaTiO3 ,Hexagonal ,1.73
Hg7.5As4Cl6 ,Cubic ,1.727
KSi2P3 ,Monoclinic ,1.72
ZnGa2Se4 ,Tetragonal ,1.72
KSb5S8 ,Monoclinic ,1.715
Yb4Sb2S11.25 ,Orthorhombic ,1.71
SbSeI ,Orthorhombic ,1.703333333
Ba12In4Se20 ,Trigonal ,1.7
CsSbSe2 ,Monoclinic ,1.7
EuEr2Se4 ,Orthorhombic ,1.7
EuLu2Se4 ,Orthorhombic ,1.7
PbCrO4 ,Tetragonal ,1.7
TlSbS2 ,Cubic ,1.69
KSbS2 ,Monoclinic ,1.685
ZnSnP2 ,Tetragonal ,1.6825
AgGaSe2 ,Tetragonal ,1.675470588
KSb5S8 ,Glass ,1.67
CsAsSe2 ,Glass ,1.665
Cu2WSe4 ,Tetragonal ,1.65
KTbSe4 ,Tetragonal ,1.65
ThOSe ,Tetragonal ,1.65
TlGaSe2 ,Tetragonal ,1.65
NaAsSe2 ,Orthorhombic ,1.635
Ba4Ga2Se8 ,Monoclinic ,1.63
Cs2Hg6S7 ,Tetragonal ,1.63
Cu3GdS3 ,Monoclinic ,1.62
CuSmSe2 ,Monoclinic ,1.62
RbSbSe2 ,Triclinic ,1.62
NdLuSe3 ,Orthorhombic ,1.61
BiSeBr ,Orthorhombic ,1.608
Ba3Ta2Se9 ,Monoclinic ,1.6
Cs2PdBr6 ,Cubic ,1.6
CsGeI3 ,Trigonal ,1.6
EuYb2S4 ,Orthorhombic ,1.6
HgSnO3 ,Hexagonal ,1.6
LiAsS2 ,Monoclinic ,1.6
Tl2TeS3 ,Orthorhombic ,1.6
TlAsS2 ,Amorphous ,1.6
Rb4Ti3S14 ,Monoclinic ,1.59
CdGeP2 ,Tetragonal ,1.586
BiSI ,Orthorhombic ,1.584
Tl2Hg3Se4 ,Monoclinic ,1.57
CdIn2Se4 ,Tetragonal ,1.564444444
BaHgSe2 ,Orthorhombic ,1.56
Cu3YbS3 ,Hexagonal ,1.56
Gd1.87Lu2.13Se6 ,Monoclinic ,1.56
NaSbS2 ,Cubic ,1.56
PrLuSe3 ,Orthorhombic ,1.56
K6Fe2O6 ,Monoclinic ,1.554
Rb6Fe2O6 ,Monoclinic ,1.546
Cu2Nb8O21 ,Monoclinic ,1.54
KCeSe4 ,Tetragonal ,1.54
Ba6Sn6Se13 ,Orthorhombic ,1.52
BaGa4Se7 ,Orthorhombic ,1.52
CdSiAs2 ,Tetragonal ,1.518571429
Sm1.82Lu2.18Se6 ,Monoclinic ,1.51
TlScS2 ,Hexagonal ,1.51
KSbSe2 ,Triclinic ,1.506
AgIn9Te14 ,Tetragonal ,1.5
CdTlS2 ,Trigonal ,1.5
Cs2PdSe8 ,Tetragonal ,1.5
Cs2TeI6 ,Cubic ,1.5
EuLiH3 ,Cubic ,1.5
Gd3.04Sc0.96S6 ,Orthorhombic ,1.5
Nd1.33Lu0.67S3 ,Monoclinic ,1.5
Pb2MnO4 ,Tetragonal ,1.5
Tl2TeI6 ,Cubic ,1.5
TaZrN3 ,Cubic ,1.495
K2PdSe10 ,Orthorhombic ,1.48
CuGaO2 ,Orthorhombic ,1.47
Tl2TeI6 ,Monoclinic ,1.47
RbAsSe2 ,Glass ,1.455
CuInS2 ,Tetragonal ,1.45225
Bi14.7In11.3S38 ,Monoclinic ,1.45
ThOTe ,Tetragonal ,1.45
Gd2Mn4S7 ,Orthorhombic ,1.44
SbTeI ,Monoclinic ,1.432
CuIn2S3.5 ,Tetragonal ,1.43
Dy4S4Te3 ,Monoclinic ,1.43
Bi3In4S10 ,Monoclinic ,1.42
Sm2ZrSe5 ,Orthorhombic ,1.41
UP2S7 ,Orthorhombic ,1.41
UP2S9 ,Tetragonal ,1.41
Ag5IO6 ,Rhombohedral ,1.4
CdGeP2 ,Cubic ,1.4
K4P8Te4 ,Monoclinic ,1.4
K8Al8Si38 ,Cubic ,1.4
K9Bi13S24 ,Monoclinic ,1.4
OsPS ,Monoclinic ,1.4
OsPSe ,Monoclinic ,1.4
Rb2TeI6 ,Cubic ,1.4
RuPS ,Monoclinic ,1.4
TlAsSe2 ,Monoclinic ,1.4
K2TeI6 ,Monoclinic ,1.38
Pr1.29Lu0.71S3 ,Monoclinic ,1.38
Cu3AsS4 ,Tetragonal ,1.36
Ag2SnS3 ,Monoclinic ,1.353333333
TlAsSe2 ,Amorphous ,1.35
NaSbSe2 ,Cubic ,1.346666667
AsNMg3 ,Cubic ,1.332
AgSbS2 ,Cubic ,1.33
Bi2O2S ,Orthorhombic ,1.31
Pd(IO3)2 ,Orthorhombic ,1.31
AgAlTe2 ,Tetragonal ,1.308
RbBiS2 ,Hexagonal ,1.308
Ba3Nb2Se9 ,Monoclinic ,1.3
BiSeI ,Orthorhombic ,1.3
EuYb2Se4 ,Orthorhombic ,1.3
LiAsSe2 ,Cubic ,1.3
OsAsS ,Monoclinic ,1.3
Rb9Bi13S24 ,Monoclinic ,1.3
Tl3AsSe3 ,Trigonal ,1.3
CdSnP2 ,Tetragonal ,1.2975
InP2Se4 ,Monoclinic ,1.29
Bi9O7.5S6 ,Rhombohedral ,1.27
KAsSe2 ,Glass ,1.27
CuZr1.86S4 ,Rhombohedral ,1.26
La3LuSe6 ,Orthorhombic ,1.26
Tl4Ta2S11 ,Triclinic ,1.26
Ce1.3Lu0.7S3 ,Monoclinic ,1.25
Si30P16Te8 ,Cubic ,1.24
CdIn2Te4 ,Tetragonal ,1.222
Tm4Sb2Se11.68 ,Orthorhombic ,1.22
ZnSnP2 ,Cubic ,1.22
KBi3S5 ,Orthorhombic ,1.21
CuIn3S5 ,Hexagonal ,1.2
Gd1.05Sc0.95Se3 ,Orthorhombic ,1.2
OsSbS ,Monoclinic ,1.2
RuAsS ,Monoclinic ,1.2
TlGaTe2 ,Tetragonal ,1.2
TlInSe2 ,Tetragonal ,1.19
KCu3S2 ,Monoclinic ,1.186333333
Eu2SnSe5 ,Orthorhombic ,1.185
AgInSe2 ,Tetragonal ,1.181818182
Ag8GeS6 ,Cubic ,1.18
Rb8Ga8Si38 ,Cubic ,1.18
TiIrSb ,Cubic ,1.18
AgAsSe2 ,Orthorhombic ,1.15
FeIn2Se4 ,Hexagonal ,1.15
Cs8Ga8Si38 ,Cubic ,1.14
CuP2Se ,Orthorhombic ,1.114166667
Cu2Ga4Te7 ,Cubic ,1.113333333
HgIn2Te4 ,Tetragonal ,1.1125
LiAsSe2 ,Monoclinic ,1.11
CuGaTe2 ,Tetragonal ,1.108
AgGaTe2 ,Tetragonal ,1.1
CdSiAs2 ,Glass ,1.1
Ce3LuSe6 ,Orthorhombic ,1.1
Cu2In4Te7 ,Cubic ,1.1
Cu2SnS3 ,Cubic ,1.1
GaGeTe ,Hexagonal ,1.1
Li2ZnGe ,Cubic ,1.1
NaCd4P3 ,Rhombohedral ,1.1
CuGa3Te5 ,Tetragonal ,1.092
CuSbSe2 ,Orthorhombic ,1.075
AgIn3Te5 ,Cubic ,1.0625
ZnGeAs2 ,Tetragonal ,1.05875
PdPS ,Orthorhombic ,1.031666667
CuIn3Te5 ,Tetragonal ,1.0265
TlCr5S8 ,Monoclinic ,1.01
Ag7AsS6 ,Orthorhombic ,1
Ag7AsSe6 ,Orthorhombic ,1
BaUSe3 ,Orthorhombic ,1
Cu3VS4 ,Cubic ,1
La0.92Bi1.08S3 ,Monoclinic ,1
TiTlS2 ,Tetragonal ,1
Bi2OS2 ,Tetragonal ,0.995
Li2CdGe ,Cubic ,0.99
AgInTe2 ,Tetragonal ,0.95
Ca2CdAs2 ,Monoclinic ,0.95
TiCoSb ,Cubic ,0.95
K2Bi8Se13 ,Monoclinic ,0.935
Li2HgGe ,Cubic ,0.93
CuInSe2 ,Tetragonal ,0.922428571
Cu4SnS4 ,Orthorhombic ,0.92
Bi2O2Se ,Tetragonal ,0.905
CuSbS2 ,Orthorhombic ,0.905
AgBiS2 ,Cubic ,0.9
CdGeP2 ,Glass ,0.9
SrZrS3 ,Orthorhombic ,0.9
Tl2Hg3Te4 ,Monoclinic ,0.9
TlBiS2 ,Trigonal ,0.9
KBiS2 ,Cubic ,0.896
Cu3YSe3 ,Hexagonal ,0.88
CuInTe2 ,Tetragonal ,0.874
TlInTe2 ,Tetragonal ,0.85
TlScTe2 ,Trigonal ,0.85
Ga2GeTe3 ,Hexagonal ,0.843333333
CdGeAs2 ,Glass ,0.823333333
TlSbSe2 ,Trigonal ,0.82
AgAsTe2 ,Monoclinic ,0.8
Cu4Sn7S16 ,Hexagonal ,0.8
CuIn3Te5 ,Hexagonal ,0.8
Ge40.0Te5.3I8 ,Cubic ,0.8
K4GeS4 ,Cubic ,0.8
Tl2Ag11.84-12Se7 ,Trigonal ,0.8
TlBiSe2 ,Amorphous ,0.8
RbBiSe2 ,Tetragonal ,0.796
TlScSe2 ,Trigonal ,0.79
Bi2Te0.1Se2.9 ,Trigonal ,0.78
TlTaS3 ,Orthorhombic ,0.78
ZnSnAs2 ,Tetragonal ,0.77
(VO)3(AsO3)2 ,Monoclinic ,0.76
Bi2Te0.3Se2.7 ,Trigonal ,0.76
Cu3SbS4 ,Tetragonal ,0.75
Pb6Sb6Se17 ,Orthorhombic ,0.75
YbSnTe2 ,Orthorhombic ,0.75
LiSbSe2 ,Cubic ,0.743333333
TlBiS2 ,Amorphous ,0.74
AgIn5Te8 ,Tetragonal ,0.73
AgTlSe2 ,Hexagonal ,0.72
Cu2GeSe3 ,Orthorhombic ,0.714285714
Ag8SnSe6 ,Cubic ,0.71
Bi2Te0.4Se2.6 ,Trigonal ,0.7
AgIn3Te5 ,Tetragonal ,0.68
La2MoO5 ,Tetragonal ,0.68
RbBi3Se5 ,Orthorhombic ,0.68
TlCr5Se8 ,Monoclinic ,0.67
K8Ga8Si38 ,Cubic ,0.665
ZnSnAs2 ,Cubic ,0.656
AgSbSe2 ,Cubic ,0.653636364
CsAg5Te3 ,Tetragonal ,0.65
Pb4Sb6Se13 ,Monoclinic ,0.65
Pu2O2Te ,Tetragonal ,0.65
K4GeSe4 ,Cubic ,0.64
KBiSe2 ,Cubic ,0.64
Na8Al8Si38 ,Cubic ,0.64
SbNMg3 ,Cubic ,0.623
CeBiO3 ,Tetragonal ,0.62
CdGeAs2 ,Tetragonal ,0.605
CuIn3Se5 ,Hexagonal ,0.6
Eu7Ga6Sb8 ,Orthorhombic ,0.6
EuSnTe2 ,Orthorhombic ,0.6
FeAsSe ,Monoclinic ,0.6
Tl2.35Sb8.65Se14 ,Monoclinic ,0.6
Cu2SnSe3 ,Cubic ,0.596666667
Cu3AsSe4 ,Cubic ,0.58125
NaFeS2 ,Orthorhombic ,0.58
BiTeBr ,Hexagonal ,0.57
TiTlSe2 ,Tetragonal ,0.56
ZrNiSb ,Cubic ,0.55
TlBiS2 ,Hexagonal ,0.54
SmSnTe2 ,Orthorhombic ,0.52
CoSbS ,Orthorhombic ,0.5
PtSnS ,Rhombohedral ,0.5
RuSbTe ,Monoclinic ,0.5
Sr5Ni4O11 ,Trigonal ,0.5
Na7Co2O6 ,Monoclinic ,0.495
CuFeS2 ,Tetragonal ,0.491666667
K2Bi8Se13 ,Triclinic ,0.47
NaSbTe2 ,Cubic ,0.47
RbNb4Br11 ,Orthorhombic ,0.46
VFeSb ,Cubic ,0.46
Cu2GeS3 ,Orthorhombic ,0.453333333
Eu3In2P4 ,Orthorhombic ,0.452
RbFeS2 ,Monoclinic ,0.45
CsFeS2 ,Orthorhombic ,0.44
KFeSe2 ,Monoclinic ,0.44
CdSnAs2 ,Cubic ,0.436666667
CsBi3Se5 ,Monoclinic ,0.43
CsSbTe2 ,Monoclinic ,0.43
NaBiS2 ,Cubic ,0.42
TiNiSb ,Cubic ,0.42
Mn2CoSb ,Cubic ,0.4007
CoPS ,Cubic ,0.4
Fe2TiSi ,Cubic ,0.4
PbPdO2 ,Hexagonal ,0.4
BiTeI ,Hexagonal ,0.396666667
CoAsS ,Cubic ,0.387833333
Ca4PtO6 ,Hexagonal ,0.385
RbBi3Se5 ,Monoclinic ,0.38
