formula,Crystal System,band_gap_experimenatal (eV)
NdAs ,Cubic ,1.04
NdB6 ,Cubic ,4.1
NdF3 ,Trigonal ,6.15
NdSe1.9 ,Tetragonal ,0.016
NdTe2 ,Tetragonal ,0.39
NiAs2 ,Orthorhombic ,0.05
NiO ,Trigonal ,3.08
NiP2 ,Monoclinic ,0.5
NiS ,Hexagonal ,0.065
NiS2 ,Cubic ,0.5
OsAs2 ,Orthorhombic ,0.906666667
OsP2 ,Orthorhombic ,1.176666667
OsS2 ,Cubic ,2
OsSb2 ,Orthorhombic ,0.255
OsTe2 ,Cubic ,0.3
P3N4 ,Monoclinic ,4.83
P3N4 ,Orthorhombic ,2.75
Pb2O3 ,Monoclinic ,1.67
Pb3O4 ,Tetragonal ,2.12
PbBr2 ,Orthorhombic ,3.31
PbCl2 ,Orthorhombic ,3.953333333
PbI2 ,Hexagonal ,2.525
PbN6 ,Orthorhombic ,3
PbO ,Orthorhombic ,2.833333333
PbO ,Tetragonal ,2.4569
PbO2 ,Orthorhombic ,1.725
PbO2 ,Tetragonal ,1.55
PbS ,Cubic ,0.3563
PbSe ,Cubic ,0.231294118
PbTe ,Cubic ,0.276058824
PdO ,Tetragonal ,0.723333333
PdP2 ,Monoclinic ,0.65
PdS ,Tetragonal ,0.5
PdS2 ,Orthorhombic ,0.75
PdSe ,Tetragonal ,0.2
PdSe2 ,Orthorhombic ,0.4
PdTe2 ,Trigonal ,1.8
Pr2O3 ,Trigonal ,0.84
Pr2S3 ,Cubic ,2.126666667
Pr2Se3 ,Cubic ,1.866666667
Pr2Te3 ,Cubic ,1.28
Pr4Te7 ,Tetragonal ,0.46
PrAs ,Cubic ,1
PrB6 ,Cubic ,4.9
PrF3 ,Trigonal ,5.725
PrO2 ,Cubic ,0.77
PrSb ,Cubic ,0.66
PrTe1.9 ,Tetragonal ,1
PrTe2 ,Tetragonal ,1.154
PtAs2 ,Cubic ,0.6
PtO2 ,Hexagonal ,0.2
PtO2 ,Orthorhombic ,0.2
PtP2 ,Cubic ,0.7
PtS ,Tetragonal ,0.775
PtS2 ,Hexagonal ,0.316666667
PtSb2 ,Cubic ,0.117772727
PtSe2 ,Trigonal ,0.1
Rb3Sb ,Hexagonal ,1.085714286
RbBr ,Cubic ,7.45
RbCl ,Cubic ,8.278
RbF ,Cubic ,10.4
RbI ,Cubic ,6.174285714
ReO3 ,Cubic ,2.3
ReS2 ,Triclinic ,1.1
ReSe2 ,Triclinic ,0.99
ReSi2 ,Tetragonal ,0.12
Rh2O3 ,Orthorhombic ,0.13
Rh2O3 ,Trigonal ,0.2
Rh2S3 ,Orthorhombic ,0.8
RhSe2 ,Cubic ,0.6
RuAs2 ,Orthorhombic ,0.8
RuP2 ,Orthorhombic ,0.933333333
RuS2 ,Cubic ,1.8
RuSb2 ,Orthorhombic ,0.3
RuSe2 ,Cubic ,0.8
RuSi ,Cubic ,0.26
RuTe2 ,Cubic ,0.25
Sb2O3 ,Orthorhombic ,3.57
Sb2S3 ,Orthorhombic ,1.708
Sb2Se3 ,Orthorhombic ,1.205277778
Sb2Te3 ,Trigonal ,0.254545455
SbI3 ,Monoclinic ,2.276666667
Sc2O3 ,Cubic ,4.825
Sc2S3 ,Orthorhombic ,2.176666667
ScN ,Cubic ,2.6
Si2Te3 ,Hexagonal ,1.802727273
Si3N4 ,Hexagonal ,4.625
SiAs ,Monoclinic ,1.774
SiAs2 ,Orthorhombic ,0.88
SiB3 ,Orthorhombic ,2
SiB3 ,Rhombohedral ,0.2
SiC 3c ,Cubic ,2.642866667
SiC ,Hexagonal ,3.122583333
SiC ,Trigonal ,2.8600625
SiO2 ,Hexagonal ,7.8
SiO2 ,Trigonal ,8.2
SiP ,Orthorhombic ,2
SiP2 ,Orthorhombic ,1.89
SiSe2 ,Orthorhombic ,1.73
Sm2O3 ,Monoclinic ,1.72
Sm2S3 ,Orthorhombic ,3
Sm2Se3 ,Orthorhombic ,2.073333333
Sm2Te3 ,Orthorhombic ,0.7
Sm3Te4 ,Cubic ,0.51
SmAs ,Cubic ,1.03
SmB6 ,Cubic ,4.9
SmP ,Cubic ,1.09
SmS ,Cubic ,0.54
SmSb ,Cubic ,0.59
SmSe ,Cubic ,0.46
SmSe1.9 ,Tetragonal ,1.68
SmTe ,Cubic ,0.378
Sn3N4 ,Cubic ,1.3
Sn3N4 ,Monoclinic ,3
Sn3N4 ,Rhombohedral ,2.64
SnBr2 ,Orthorhombic ,3.45
SnCl2 ,Orthorhombic ,3.9
SnI2 ,Monoclinic ,2.4
SnI4 ,Cubic ,2.38
SnO2 ,Tetragonal ,3.346291667
SnS ,Orthorhombic ,1.188
SnS2 ,Trigonal ,2.103888889
SnSe ,Orthorhombic ,0.962352941
SnSe2 ,Trigonal ,1.242105263
SnTe ,Cubic ,0.318333333
SrO ,Cubic ,4.21
SrS ,Cubic ,4.78
SrSe ,Cubic ,4.435
SrTe ,Cubic ,3.75
Ta2O5 ,Monoclinic ,4.11
TaS2 ,Hexagonal ,0.1
Tb2O3 ,Cubic ,0.905
Tb4O7 ,Cubic ,0.4
TbO2 ,Cubic ,0.5
TcCl2 ,Monoclinic ,0.12
TeI ,Triclinic ,1.1
TeO2 ,Tetragonal ,3
Th2Se5 ,Tetragonal ,0.37
ThO2 ,Cubic ,3.804285714
TI2O3 ,Trigonal ,0.07
Ti2S3 ,Monoclinic ,0.3
TiO ,Cubic ,0.1
TiO2 ,Tetragonal ,3.25
TiS2 ,Trigonal ,1.595
TiS3-x ,Monoclinic ,0.9
TiSe2 ,Trigonal ,1.12
TiTe2 ,Trigonal ,1
Tl2O3 ,Cubic ,1.825
Tl2S ,Trigonal ,1.025714286
Tl2Se ,Tetragonal ,0.37
Tl2Te ,Tetragonal ,0.48
Tl2Te3 ,Monoclinic ,0.61
TlBr ,Cubic ,2.935907692
TlCl ,Cubic ,3.420275
TlI ,Cubic ,2.5556
TlI ,Orthorhombic ,2.88
TlN3 ,Tetragonal ,3.58
TlS ,Tetragonal ,1.36
TlSe ,Tetragonal ,0.741944444
TmAs ,Cubic ,1.18
UO2 ,Cubic ,1.74
V2O3 ,Hexagonal ,0.24
V2O3 ,Trigonal ,0.1
V2O5 ,Orthorhombic ,2.328571429
V4O7 ,Triclinic ,0.8
V5O9 ,Triclinic ,0.15
VO ,Cubic ,0.3
VO2 ,Monoclinic ,0.4575
WO3 ,Triclinic ,2.8
WS2 ,Hexagonal ,0.775
WSe2 ,Hexagonal ,1.465
WTe2 ,Orthorhombic ,0.0625
Y2O3 ,Cubic ,3.53
Y2S3 ,Monoclinic ,2.9
Yb2O3 ,Cubic ,2.26
Yb2S3 ,Hexagonal ,0.29
YbAs ,Cubic ,1.02
YbS ,Cubic ,0.610125
YbSb ,Cubic ,1
YbSe ,Cubic ,0.85
YbTe ,Cubic ,1.425
YN ,Cubic ,1.9
Zn3As2 ,Tetragonal ,0.960652174
Zn3P2 ,Tetragonal ,1.471666667
Zn3Sb2 ,Orthorhombic ,0.21
Zn4Sb3 ,Monoclinic ,1.16
ZnAs ,Orthorhombic ,0.9
ZnAs2 ,Monoclinic ,1.026363636
ZnI2 ,Tetragonal ,4.53
ZnO ,Hexagonal ,3.357028571
ZnP2 ,Monoclinic ,1.33
ZnP2 ,Tetragonal ,1.858
ZnS ,Cubic ,3.61125
ZnS ,Hexagonal ,3.714952381
ZnSb ,Orthorhombic ,0.660030303
ZnSe ,Cubic ,2.712313793
ZnSe ,Hexagonal ,2.8345
ZnTe ,Cubic ,2.279285714
Zr3O ,Trigonal ,0.2
Zr6O ,Hexagonal ,0.18
ZrO2 ,Monoclinic ,2.066666667
ZrS2 ,Trigonal ,1.76
ZrS3 ,Monoclinic ,2.225
ZrSe2 ,Trigonal ,2
ZrSe3 ,Monoclinic ,1.25
